City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,severo-yeniseyskiy,60.3725,93.0408,-15.38,95,100,1.88,RU,1732409818
177,nyons,44.3333,5.1667,5.69,80,100,3.78,FR,1732409818
178,taraz,42.9,71.3667,-3.77,100,100,3.0,KZ,1732409818
179,qaqortoq,60.7167,-46.0333,-13.49,69,0,2.82,GL,1732409818
180,luanda,-8.8368,13.2343,25.36,86,100,3.04,AO,1732409818
181,tura,25.5198,90.2201,15.87,86,0,1.27,IN,1732409536
182,fort st. john,56.2499,-120.8529,-16.06,72,100,5.66,CA,1732409818
183,broken hill,-31.95,141.4333,26.81,48,100,4.12,AU,1732409818
184,orapa,-21.2833,25.3667,22.14,61,32,5.09,BW,1732409819
185,laguna,38.421,-121.4238,14.48,79,0,2.06,US,1732409819
186,codrington,-38.2667,141.9667,20.59,68,100,4.68,AU,1732409819
187,al jawf,29.5,38.75,16.26,51,100,2.37,SA,1732409819
188,port alfred,-33.5906,26.891,17.88,95,100,2.01,ZA,1732409819
189,weno,7.4515,151.8468,28.97,74,100,2.57,FM,1732409820
190,aasiaat,68.7098,-52.8699,-14.66,69,99,2.32,GL,1732409633
191,pithora,21.2667,82.5167,13.84,71,13,0.84,IN,1732409820
192,rajgir,25.0333,85.4167,14.12,57,0,2.59,IN,1732409820
193,chadan,51.2833,91.5833,-14.71,89,100,0.66,RU,1732409820
194,fortuna,40.5982,-124.1573,11.07,96,20,0.0,US,1732409821
195,belyy yar,53.6039,91.3903,-13.06,85,100,2.0,RU,1732409821
196,bereznik,62.8551,42.7072,-1.48,94,100,2.66,RU,1732409821
197,ryotsu-minato,38.0833,138.4333,8.1,61,51,3.17,JP,1732409818
198,cabedelo,-6.9811,-34.8339,26.37,77,25,6.13,BR,1732409821
199,elk city,35.412,-99.4043,15.99,77,0,5.14,US,1732409821
200,iyidere,41.0119,40.3619,12.81,90,100,4.52,TR,1732409822
201,at taj,24.2049,23.2857,16.87,31,4,3.72,LY,1732409822
202,wad rawah,15.1603,33.1397,24.14,21,0,5.39,SD,1732409822
203,udachny,66.4167,112.4,-28.22,95,91,1.07,RU,1732409700
